field,label,description,source,example
parcel_id,Parcel ID (RPC),The county's Real Property Code — a unique identifier for each parcel in Arlington's tax and property records.,Arlington County GIS parcels,23001033
street_address,Street Address,"The property's mailing address, formatted as street number and name, city, and ZIP code. Useful for looking up the property on a map or in county records.",Arlington Open Data — Real Estate Property API,"3715 1st Rd S, Arlington VA 22204"
neighborhood,Civic Association / Neighborhood,The civic association area the parcel falls within. Arlington uses civic associations as its primary neighborhood unit.,Arlington County GIS — Civic Association Polygons,Alcova Heights
zoning_district,Zoning District,"The official zoning code assigned to this parcel. Determines what can be built by-right (without special permits). Residential districts include R-5, R-6, R-8, R-10, R2-7, R15-30T, etc.",Arlington County GIS — Zoning Polygons,R-6
is_split_zoned,Split Zoning?,True if the parcel straddles two or more zoning districts. Analysis uses the primary (centroid) zone; results should be treated with extra caution for split-zoned parcels.,Calculated from spatial join,False
lot_area_sf,Lot Area (sq ft),"The total area of the parcel in square feet, calculated from the GIS parcel boundary. This is the authoritative geometric area, which may differ slightly from the county's recorded lot size.",Calculated from GIS parcel geometry (EPSG:2283),6000
lot_width_ft,Lot Width (ft),"The estimated width of the parcel in feet, calculated using the minimum bounding rectangle of the parcel shape. For irregular lots this is an approximation.",Calculated from GIS parcel geometry,60
is_conforming,Meets Zoning Minimums?,True if the lot meets the minimum area and width requirements for its zoning district. Non-conforming lots may have limited by-right development options.,Calculated from lot metrics vs. zoning rules,True
year_built,Year Built,"The year the current structure was built, according to county property records. Blank for vacant parcels.",Arlington Open Data — Real Estate Property API,1952
property_type,Property Type,"The county's classification of the existing use of the property (e.g. Single Family Detached, Townhouse, Vacant Residential).",Arlington Open Data — Real Estate Property API,511-Single Family Detached
current_gfa_sf,Current Building Size (sq ft),"The gross floor area of the building currently on the parcel, in square feet, from county records. This is total finished floor area across all stories. Blank for vacant parcels.",Arlington Open Data — Real Estate Property API,2400
current_stories,Current Stories,Number of stories in the existing building. Used to estimate the building footprint when combined with gross floor area.,Arlington Open Data — Real Estate Property API,2
land_value,Assessed Land Value ($),The county's most recent assessed value of the land only (not the building). Used as a key input to the valuation estimates.,Arlington Open Data — Real Estate Assessment API (2025–2026),475700
improvement_value,Assessed Building Value ($),The county's most recent assessed value of the building (improvements) on the parcel. A low or zero improvement value often indicates a vacant lot or a teardown candidate.,Arlington Open Data — Real Estate Assessment API (2025–2026),312400
max_footprint_sf,Max Building Footprint Allowed (sq ft),"The largest building footprint (ground-floor area) allowed by zoning rules for this parcel, in square feet. Determined by the zoning district's lot coverage and footprint percentage limits.",Calculated from lot area × zoning district standards,1800
max_gfa_sf,Max Buildable Floor Area (sq ft),"An estimate of the maximum total floor area that could be built on this parcel by-right, in square feet. Calculated as max footprint × 2.5 stories (the typical assumption for 35-ft height limit residential districts). This is an estimate — actual buildable area depends on setbacks and design.",Calculated: max_footprint_sf × 2.5 stories,4500
max_height_ft,Max Height Allowed (ft),"The maximum building height permitted by zoning, in feet.",Arlington County Zoning Ordinance — residential district standards,35
max_dwelling_units,Max Dwelling Units Allowed,The maximum number of dwelling units (homes) that can be built on this parcel by-right. Most single-family residential parcels allow 1 unit.,Calculated from zoning district standards,1
available_gfa_sf,Unused Floor Area Capacity (sq ft),How much additional floor area could be built on this parcel before reaching the zoning maximum — in square feet. Calculated as max buildable GFA minus current building GFA. Negative values mean the existing building exceeds what current zoning would allow (grandfathered / legal nonconforming).,Calculated: max_gfa_sf − current_gfa_sf,2100
gfa_utilization_pct,How Built-Out Is This Parcel? (%),What percentage of the maximum allowed floor area is already built. 0% means vacant; 100% means fully built to the zoning limit; over 100% means the existing building exceeds current zoning (grandfathered).,Calculated: current_gfa_sf ÷ max_gfa_sf × 100,53.3
development_status,Development Status,A simple classification of how developed this parcel is relative to its zoning potential. 'vacant' = no building; 'underdeveloped' = built to less than 80% of zoning limit; 'near-capacity' = built to 80–100% of limit; 'overdeveloped' = existing building exceeds current zoning limit (grandfathered).,Derived from gfa_utilization_pct and is_vacant,underdeveloped
est_value_low,Estimated Development Value — Low ($),"The low end of the estimated market value of this parcel's unused development capacity, in dollars. Uses the most conservative assumptions across four valuation methods. This is an estimate for policy analysis, NOT a property appraisal.","Calculated using land residual, assessment ratio, price-per-SF, and price-per-unit methods",150000
est_value_high,Estimated Development Value — High ($),"The high end of the estimated market value of this parcel's unused development capacity, in dollars. Uses the most optimistic assumptions across applicable valuation methods.","Calculated using land residual, assessment ratio, price-per-SF, and price-per-unit methods",402500
valuation_confidence,Valuation Confidence,"How reliable the valuation estimate is. 'high' = 3 or more methods agree and data quality is good; 'medium' = 2 methods applicable; 'low' = only 1 method; 'not_applicable' = parcel has no unused development capacity to value (vacant data, overdeveloped, or non-residential).",Derived from number of applicable valuation methods and data quality thresholds,high
